Is Duplicate Row?,X,Y,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Location,Above Ground Sighter Measurement,Running,Chasing,Climbing,Eating,Foraging,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Lat/Long,Lat/Long - Split 1,Lat/Long - Split 2
Unique,-73.971424243,40.774453580,11E-PM-1012-05,11E,PM,10122018,5,Adult,Gray,White,Gray+White,Ground Plane,FALSE,True,False,False,True,True,False,False,False,False,False,False,True,False,POINT (-73.9714242426496 40.7744535798123),POINT,(-73.9714242426496 40.7744535798123)
Unique,-73.970296306,40.769792873,7H-AM-1006-11,07H,AM,10062018,11,Adult,Gray,Cinnamon,Gray+Cinnamon,Ground Plane,FALSE,False,False,False,False,True,False,False,False,False,False,True,False,False,POINT (-73.9702963056917 40.7697928730791),POINT,(-73.9702963056917 40.7697928730791)
Unique,-73.970271726,40.768951108,6I-PM-1013-03,06I,PM,10132018,3,Adult,Cinnamon,,Cinnamon+,Ground Plane,FALSE,False,False,False,True,False,False,False,False,False,False,False,False,False,POINT (-73.9702717260829 40.768951107763),POINT,(-73.9702717260829 40.768951107763)
Unique,-73.968475825,40.785853162,24A-PM-1007-02,24A,PM,10072018,2,Adult,Gray,,Gray+,Ground Plane,FALSE,True,False,False,False,False,False,False,False,False,False,False,True,False,POINT (-73.9684758245091 40.7858531619022),POINT,(-73.9684758245091 40.7858531619022)
Unique,-73.965012007,40.780593288,20F-PM-1007-13,20F,PM,10072018,13,Juvenile,Cinnamon,Gray,Cinnamon+Gray,Above Ground,10,False,False,True,False,False,False,False,False,False,False,False,False,True,POINT (-73.9650120066074 40.78059328824071),POINT,(-73.9650120066074 40.78059328824071)
Unique,-73.960300330,40.795347587,36B-AM-1013-03,36B,AM,10132018,3,,Gray,,Gray+,Ground Plane,FALSE,True,False,False,False,False,False,False,False,False,False,False,True,False,POINT (-73.960300330029 40.7953475871869),POINT,(-73.960300330029 40.7953475871869)
Unique,-73.969240142,40.770712890,8I-AM-1006-04,08I,AM,10062018,4,Adult,Gray,White,Gray+White,Ground Plane,FALSE,True,False,False,False,True,False,False,False,True,False,False,True,False,POINT (-73.9692401421068 40.7707128895661),POINT,(-73.9692401421068 40.7707128895661)
Unique,-73.969041696,40.771661867,10H-AM-1014-05,10H,AM,10142018,5,,Cinnamon,,Cinnamon+,Ground Plane,FALSE,False,False,False,False,True,False,False,False,False,False,False,False,False,POINT (-73.9690416961886 40.7716618670996),POINT,(-73.9690416961886 40.7716618670996)
Unique,-73.958925488,40.791446765,33E-PM-1012-09,33E,PM,10122018,9,Adult,Black,,Black+,Ground Plane,FALSE,False,False,False,True,True,False,False,False,False,False,False,False,True,POINT (-73.9589254878322 40.7914467650712),POINT,(-73.9589254878322 40.7914467650712)
Unique,-73.972870036,40.765984267,3H-PM-1014-05,03H,PM,10142018,5,Adult,Gray,White,Gray+White,Ground Plane,FALSE,False,False,False,True,False,False,False,False,False,False,False,True,False,POINT (-73.9728700359494 40.7659842666881),POINT,(-73.9728700359494 40.7659842666881)
Unique,-73.972228126,40.770408329,7G-AM-1010-06,07G,AM,10102018,6,Adult,Cinnamon,White,Cinnamon+White,Ground Plane,FALSE,False,False,False,True,False,False,False,False,False,False,False,True,False,POINT (-73.9722281263634 40.7704083288013),POINT,(-73.9722281263634 40.7704083288013)
Unique,-73.974863547,40.774259103,10C-AM-1018-02,10C,AM,10182018,2,Adult,Gray,"Cinnamon, White","Gray+Cinnamon, White",Ground Plane,FALSE,False,False,False,True,False,False,False,False,False,False,False,True,False,POINT (-73.9748635473782 40.7742591029151),POINT,(-73.9748635473782 40.7742591029151)
